Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
0.0049591064,0.0017547607,0.0005340576,0.0066375732,-0.0006866455,0.002670288,-0.0032806396,7.6293945e-05
0.0012969971,-0.005722046,0.008926392,0.00038146973,0.0016021729,-0.0020599365,-0.0023651123,0.002822876
0.0037384033,0.0016021729,0.00038146973,0.0012969971,0.0025177002,0.002822876,0.002822876,0.001449585
-0.005874634,-0.009231567,0.0037384033,-0.0011444092,-0.0019073486,-0.0034332275,-0.0009918213,-0.0031280518
0.00541687,-0.0031280518,0.0037384033,0.002670288,0.0029754639,-0.0019073486,-0.0011444092,0.001449585
0.001449585,0.0074005127,0.004043579,7.6293945e-05,0.0029754639,0.00038146973,0.0025177002,0.002670288
-0.0009918213,7.6293945e-05,0.004043579,0.00022888184,-0.0011444092,0.0037384033,0.0063323975,-0.0009918213
7.6293945e-05,-0.0011444092,-0.0019073486,0.0012969971,0.0005340576,0.0005340576,0.00022888184,0.00038146973
-0.0011444092,0.004196167,-0.004501343,7.6293945e-05,0.0016021729,-0.0008392334,-0.0034332275,0.0025177002
-0.0023651123,-0.009231567,0.00038146973,0.0049591064,0.0025177002,0.00038146973,0.005264282,0.004196167
0.008621216,0.002822876,-0.0023651123,-0.0031280518,0.0025177002,-0.004501343,-0.005569458,0.00038146973
-0.0009918213,0.00022888184,0.0064849854,0.0012969971,0.0017547607,-0.0022125244,-0.0022125244,-0.0022125244
-0.0019073486,0.00541687,-0.0048065186,7.6293945e-05,-0.0035858154,0.0025177002,-0.0034332275,-0.0009918213
-0.0006866455,-0.0008392334,0.0017547607,-0.0006866455,-0.0032806396,-0.0023651123,0.0038909912,0.0016021729
-0.0031280518,-0.0006866455,-0.0019073486,-0.0023651123,0.00022888184,-0.0034332275,-0.0008392334,0.0016021729
7.6293945e-05,0.0038909912,-0.0023651123,0.0005340576,-0.0048065186,0.0066375732,-0.0011444092,-0.0006866455
0.0005340576,-0.004501343,-0.0048065186,0.0012969971,-0.0031280518,0.0038909912,0.0074005127,0.0074005127
0.0025177002,7.6293945e-05,0.004043579,0.002822876,0.004196167,-0.0031280518,0.00022888184,0.004196167
-0.0011444092,0.0017547607,-0.0008392334,0.0005340576,-0.0008392334,0.0016021729,0.00022888184,0.0005340576
0.0017547607,0.0025177002,0.004043579,0.001449585,7.6293945e-05,0.00022888184,0.002670288,0.0029754639
0.004043579,-0.004348755,0.00038146973,0.00038146973,0.001449585,-0.0009918213,0.00038146973,0.0051116943
0.0061798096,-0.0023651123,-0.0008392334,-0.0019073486,0.0012969971,-0.0020599365,0.0016021729,-0.0009918213
0.0016021729,-0.0009918213,-0.0011444092,-0.0031280518,0.00541687,0.004196167,7.6293945e-05,-0.0011444092
-0.0034332275,0.001449585,0.0005340576,-0.0034332275,-0.0031280518,0.0017547607,-0.0008392334,-0.0023651123
0.00038146973,-0.0032806396,0.001449585,-0.005874634,-0.0008392334,0.0049591064,0.0005340576,0.0005340576
0.0017547607,0.004043579,0.0017547607,0.0005340576,0.0017547607,-0.0009918213,-0.0011444092,0.0012969971
-0.0011444092,-0.0031280518,-0.0022125244,0.001449585,-0.0011444092,0.0049591064,0.00022888184,-0.0046539307
-0.0009918213,-0.007095337,-0.0035858154,0.007858276,7.6293945e-05,-0.004501343,0.0017547607,0.00038146973
-0.0020599365,-0.0023651123,-0.009384155,-0.0060272217,-0.0019073486,-0.0019073486,-0.0008392334,-0.0008392334
0.0012969971,-0.0048065186,-0.0006866455,-0.005722046,-0.0020599365,0.0016021729,-0.0008392334,-0.0019073486
-0.0022125244,-0.0022125244,-0.0019073486,0.0005340576,0.00022888184,0.0017547607,-0.004501343,-0.0035858154
0.0016021729,-0.005874634,0.00038146973,-0.0020599365,0.00022888184,0.0005340576,0.001449585,7.6293945e-05
0.0017547607,0.0038909912,0.0025177002,-0.005874634,-0.0019073486,-0.005722046,-0.0006866455,-0.0011444092
-0.0031280518,-0.0035858154,0.002670288,-0.0009918213,0.0029754639,0.0005340576,-0.0020599365,-0.0019073486
-0.0009918213,-0.0011444092,-0.0031280518,0.00022888184,-0.007247925,0.0005340576,0.002670288,-0.0009918213
-0.0006866455,-0.0009918213,0.001449585,0.001449585,0.0016021729,-0.0022125244,0.00022888184,0.0012969971
0.0029754639,0.0037384033,0.005264282,0.002670288,0.002670288,0.0037384033,0.0017547607,-0.0011444092
0.00038146973,0.0074005127,-0.0020599365,0.0017547607,0.001449585,0.0064849854,0.0005340576,0.0025177002
0.00541687,0.0064849854,0.0025177002,0.00022888184,0.002822876,0.0012969971,0.00038146973,0.0049591064
0.0051116943,-0.0020599365,-0.004501343,0.0038909912,0.001449585,-0.0034332275,-0.0006866455,-0.0022125244
0.0029754639,-0.0006866455,-0.0011444092,0.0016021729,-0.0009918213,7.6293945e-05,7.6293945e-05,0.0012969971
0.0005340576,0.0017547607,-0.0008392334,-0.0023651123,0.0037384033,-0.0011444092,7.6293945e-05,-0.004501343
0.0005340576,-0.0022125244,0.00022888184,0.00022888184,0.0005340576,-0.0011444092,-0.005569458,-0.0008392334
-0.0008392334,-0.0011444092,0.0025177002,0.0037384033,-0.0035858154,-0.0023651123,0.002670288,-0.0020599365
0.0025177002,0.0029754639,0.0029754639,0.0025177002,-0.0011444092,0.0016021729,0.0012969971,0.007858276
-0.0011444092,0.005264282,7.6293945e-05,-0.0035858154,-0.0031280518,0.00022888184,-0.0046539307,-0.0011444092
0.0016021729,0.0025177002,0.0012969971,0.00038146973,0.0049591064,0.0029754639,0.00022888184,-0.0023651123
0.0017547607,0.0016021729,0.0029754639,0.002822876,-0.0020599365,0.0037384033,-0.0023651123,0.0005340576
-0.0048065186,0.0049591064,-0.005722046,-0.0011444092,0.0012969971,0.001449585,7.6293945e-05,-5.0
0.004196167,0.004196167,0.00038146973,0.0025177002,-0.0031280518,-0.0019073486,-0.0048065186,0.0016021729
0.0037384033,0.001449585,-0.0046539307,0.0016021729,0.0016021729,-0.0048065186,0.0016021729,0.0012969971
7.6293945e-05,-0.0035858154,-0.0020599365,-0.0022125244,0.007858276,-0.0031280518,-0.005722046,-0.0019073486
0.002670288,-0.0020599365,0.00038146973,0.0016021729,0.0005340576,0.0016021729,-0.0008392334,0.0025177002
-0.0035858154,0.0017547607,7.6293945e-05,0.0012969971,0.0005340576,0.0049591064,0.0025177002,0.00038146973
7.6293945e-05,0.004043579,-0.004348755,-0.0020599365,0.001449585,-0.0034332275,-0.0022125244,-0.0008392334
-0.0046539307,-0.0009918213,-0.0023651123,0.002670288,-0.0046539307,0.002670288,0.0017547607,0.001449585
0.00038146973,0.0017547607,-0.0009918213,-0.006790161,0.004043579,-0.0009918213,0.0016021729,-0.0011444092
0.002822876,-0.0031280518,-0.0034332275,-0.0034332275,0.001449585,7.6293945e-05,7.6293945e-05,0.0012969971
0.0029754639,-0.0006866455,0.0037384033,0.0016021729,-0.0022125244,-0.0032806396,0.0025177002,0.00022888184
7.6293945e-05,0.0017547607,0.002670288,-0.0046539307,0.0016021729,-0.0060272217,0.002670288,0.0025177002
-0.0022125244,-0.0031280518,7.6293945e-05,0.0029754639,0.00038146973,0.0016021729,0.0029754639,-0.0048065186
7.6293945e-05,-0.0035858154,-0.0009918213,-0.0032806396,0.004196167,-0.0019073486,-0.0019073486,0.0016021729
0.0061798096,0.004043579,-0.0034332275,0.001449585,-0.0011444092,-0.0011444092,-0.007247925,-0.0008392334
-0.0048065186,7.6293945e-05,-0.0011444092,-0.0008392334,-0.004501343,-0.0035858154,-0.0008392334,-0.0031280518
-0.0032806396,0.00022888184,0.0051116943,0.0012969971,0.004043579,0.004043579,0.0017547607,0.0016021729
0.0038909912,-0.0011444092,0.0038909912,0.0037384033,0.004043579,0.0012969971,0.00541687,0.0029754639
-0.0006866455,-0.0020599365,-0.0046539307,0.0051116943,0.00541687,-0.0060272217,0.0025177002,0.0012969971
-0.0011444092,-0.0035858154,0.002670288,0.001449585,0.0061798096,0.00022888184,-0.0020599365,-0.0020599365
0.0051116943,0.0025177002,0.0017547607,-0.0034332275,-0.0046539307,-0.0008392334,0.0012969971,0.00022888184
-0.0032806396,-0.0008392334,-0.0032806396,-0.0032806396,0.0025177002,0.0037384033,0.00022888184,0.004043579
0.0016021729,-0.0008392334,-0.004501343,-0.0009918213,-0.0048065186,-0.004348755,-0.0011444092,-0.0046539307
-0.0031280518,0.00022888184,-0.0011444092,0.0005340576,-0.0022125244,-0.0009918213,0.004043579,0.002670288
0.00541687,0.00038146973,-0.0020599365,0.00022888184,0.002670288,-0.0034332275,0.0016021729,0.0005340576
0.002670288,0.0012969971,-0.0031280518,-0.0006866455,-0.0020599365,-0.0046539307,-0.0031280518,-0.0022125244
-0.004348755,0.00038146973,0.0005340576,-0.0031280518,-0.0023651123,0.002822876,-0.0034332275,0.00038146973
-0.0020599365,0.00022888184,-0.0011444092,-0.0022125244,-0.0046539307,-0.0031280518,0.00022888184,0.0016021729
-0.0009918213,-0.0022125244,0.0025177002,-0.004501343,-0.0008392334,0.002670288,0.0012969971,0.0017547607
-0.0006866455,-0.0008392334,-0.005722046,0.0012969971,0.0012969971,0.0017547607,-0.0031280518,-0.0019073486
0.0017547607,-0.0048065186,0.0025177002,0.0029754639,0.00038146973,-0.0020599365,0.00022888184,0.0017547607
0.0017547607,0.001449585,0.002670288,-0.0046539307,-0.0022125244,-0.0035858154,7.6293945e-05,0.00038146973
0.0075531006,7.6293945e-05,0.00038146973,0.0017547607,0.0017547607,-0.0035858154,-0.0032806396,-0.0032806396
0.002822876,0.00022888184,7.6293945e-05,0.002822876,0.0017547607,-0.0019073486,0.0037384033,0.0025177002
0.0005340576,7.6293945e-05,0.0005340576,0.00022888184,0.005264282,-0.0035858154,0.00022888184,-0.0034332275
-0.0023651123,0.0005340576,0.0025177002,0.002670288,-0.0011444092,0.004196167,0.0016021729,0.0025177002
-0.0011444092,-0.0019073486,0.0025177002,0.0037384033,0.002670288,0.00038146973,0.0029754639,0.0037384033
0.0017547607,0.0017547607,0.0005340576,0.00038146973,-0.0008392334,0.0049591064,0.004043579,-0.0034332275
-0.0011444092,0.0037384033,0.00038146973,-0.0011444092,-0.0006866455,-0.0008392334,-0.0006866455,0.00038146973
0.004196167,-0.004501343,0.002670288,0.0049591064,-0.0011444092,0.00022888184,0.0005340576,0.00022888184
7.6293945e-05,-0.0020599365,0.004043579,0.0051116943,0.0005340576,0.0005340576,0.0049591064,0.0049591064
0.001449585,0.0016021729,0.002822876,0.001449585,0.002822876,-0.004501343,0.002822876,0.0012969971
0.0038909912,0.00022888184,0.0016021729,-0.0019073486,0.0016021729,0.0017547607,-0.0011444092,0.0016021729
0.0025177002,0.0049591064,-0.0011444092,-0.0034332275,0.00022888184,0.00022888184,-0.0034332275,0.0025177002
-0.0035858154,0.00022888184,0.002822876,-0.005569458,0.002670288,0.0025177002,-0.0009918213,0.0017547607
-0.004501343,0.010147095,0.0012969971,-0.0023651123,-0.0060272217,-0.0034332275,-0.0019073486,-0.0008392334
-0.0011444092,0.0063323975,0.00038146973,-0.0031280518,-0.0032806396,-0.0020599365,0.00038146973,-0.0011444092
-0.0019073486,0.0005340576,0.0077056885,-0.004501343,0.004196167,0.0012969971,0.00022888184,0.0061798096
-0.0023651123,0.0066375732,0.004043579,-0.0035858154,0.00022888184,0.0017547607,-0.0048065186,0.00038146973
0.004043579,0.0012969971,0.0016021729,0.004043579,-0.0020599365,-0.0011444092,0.004196167,0.0017547607
-0.004501343,-0.0011444092,-0.0011444092,0.001449585,-0.0009918213,0.00022888184,0.00038146973,0.0037384033
-0.0011444092,0.0061798096,-0.0023651123,0.00038146973,0.0016021729,0.00022888184,-0.0023651123,0.001449585
0.0016021729,-0.0046539307,-0.0019073486,-0.0022125244,0.005264282,0.0017547607,-0.0031280518,0.0005340576
-0.0032806396,0.0005340576,0.0066375732,-0.0019073486,-0.0020599365,0.00038146973,0.00022888184,0.0025177002
0.0016021729,0.002670288,0.00022888184,0.004196167,0.001449585,0.001449585,0.0074005127,0.0074005127
0.00022888184,-0.004348755,0.0064849854,0.0005340576,-0.0019073486,0.00038146973,0.002822876,0.002822876
-0.0020599365,0.004196167,0.0005340576,0.0049591064,0.00038146973,0.00038146973,-0.0023651123,0.001449585
0.0061798096,0.004043579,-0.006790161,-0.0006866455,0.0064849854,0.00038146973,-0.0046539307,0.0012969971
-0.0048065186,-0.0022125244,-0.0019073486,-0.0006866455,-0.0031280518,-0.0006866455,-0.0034332275,-0.0008392334
0.001449585,0.0012969971,0.001449585,-0.0023651123,-0.0008392334,7.6293945e-05,-0.0009918213,-0.0019073486
-0.0034332275,-0.0046539307,-0.0019073486,-0.0035858154,7.6293945e-05,-0.0019073486,-0.0034332275,-0.0048065186
0.0005340576,0.002822876,0.0038909912,7.6293945e-05,0.00022888184,0.0017547607,-0.0023651123,-0.0023651123
0.0029754639,0.0017547607,0.0029754639,-0.0019073486,-0.0023651123,-0.0006866455,0.0012969971,0.0049591064
0.0090789795,0.0025177002,0.002822876,0.0017547607,0.0038909912,0.004196167,0.002670288,0.004196167
0.0029754639,-0.0019073486,0.00022888184,-0.0034332275,-0.0008392334,-0.004501343,0.002670288,0.0005340576
0.00038146973,0.00038146973,0.0074005127,0.0066375732,0.0005340576,0.005264282,0.00022888184,0.0012969971
0.0012969971,7.6293945e-05,0.0025177002,0.0005340576,0.004043579,-0.004501343,-0.0046539307,-0.0022125244
0.0025177002,0.0016021729,0.001449585,-0.009384155,-0.0022125244,0.00038146973,0.002822876,0.0005340576
0.004043579,0.0016021729,-0.0046539307,-0.0034332275,0.00022888184,0.0017547607,-0.0011444092,-0.0008392334
0.005264282,0.0051116943,0.002670288,-0.0009918213,-0.0022125244,0.0017547607,-0.004348755,-0.0008392334
-0.005569458,0.0005340576,0.00038146973,-0.0023651123,-0.0022125244,0.0012969971,-0.0035858154,0.0005340576
7.6293945e-05,-0.0035858154,0.0025177002,0.00038146973,-0.0032806396,-0.0032806396,0.0063323975,0.00038146973
0.0012969971,0.0012969971,0.0037384033,0.0038909912,0.0074005127,-0.0035858154,-0.006942749,0.0017547607
-0.0035858154,-0.0019073486,7.6293945e-05,-0.009689331,-0.0060272217,-0.0009918213,-0.0011444092,-0.005569458
0.0049591064,0.0017547607,-0.0006866455,-0.0022125244,0.00038146973,0.0016021729,7.6293945e-05,0.0017547607
0.0025177002,0.00038146973,-0.005874634,0.00022888184,0.0005340576,0.0017547607,-0.0009918213,-0.0035858154
-0.0009918213,7.6293945e-05,-0.0008392334,-0.0008392334,0.0012969971,0.0005340576,-0.0023651123,-0.0023651123
-0.0048065186,-0.0009918213,0.0063323975,0.0017547607,0.00022888184,-0.0048065186,0.002670288,0.005264282
0.002670288,-0.006942749,-0.0020599365,0.00022888184,0.002822876,0.005264282,-0.0060272217,0.0012969971
0.0029754639,0.0012969971,-0.0020599365,-0.0008392334,0.0005340576,-0.0011444092,-0.0046539307,-0.0022125244
-0.005569458,-0.0034332275,-0.0035858154,0.0029754639,-0.0008392334,-0.004501343,0.002670288,0.0005340576
7.6293945e-05,0.0016021729,0.0016021729,0.00022888184,0.00022888184,0.002670288,0.002822876,0.0012969971
0.00038146973,0.004196167,0.00038146973,0.0025177002,0.0025177002,-0.0022125244,-0.0034332275,-0.0008392334
0.00038146973,-0.0034332275,0.0037384033,-0.0048065186,-0.0011444092,0.002822876,-0.0009918213,0.0017547607
0.0005340576,0.00022888184,0.0037384033,0.0038909912,0.001449585,0.001449585,0.0029754639,0.0016021729
0.0061798096,-0.0048065186,-0.0009918213,0.00022888184,-0.0011444092,0.001449585,0.00038146973,0.0012969971
0.002670288,0.00038146973,0.0064849854,0.0017547607,-0.006942749,0.002670288,0.00038146973,-0.005874634
7.6293945e-05,0.0037384033,-0.0022125244,0.002670288,-0.0022125244,-0.0009918213,-0.0023651123,-0.0006866455
-0.0031280518,0.0029754639,0.0017547607,0.00022888184,-0.0023651123,0.00038146973,0.0049591064,0.001449585
-0.0009918213,-0.0006866455,-0.0019073486,-0.0034332275,-0.0023651123,0.005264282,7.6293945e-05,0.0016021729
0.002670288,-0.0035858154,-0.0031280518,0.0005340576,-0.0022125244,-0.0048065186,-0.0019073486,-0.0011444092
-0.0020599365,-0.0031280518,-0.004501343,-0.0019073486,0.00038146973,-0.005722046,0.008773804,0.002670288
7.6293945e-05,-0.004501343,-0.0031280518,0.005264282,0.0025177002,-0.0008392334,0.00038146973,0.0005340576
-0.005569458,-0.0009918213,0.00022888184,0.0029754639,-0.004501343,0.00038146973,0.0017547607,-0.0008392334
0.001449585,0.00038146973,0.0025177002,0.001449585,0.0005340576,-0.0022125244,-0.007247925,-0.0011444092
-0.0019073486,-0.005569458,-0.0011444092,0.0049591064,7.6293945e-05,-0.0046539307,7.6293945e-05,0.0012969971
0.00022888184,0.0005340576,-0.0023651123,0.0017547607,-0.0031280518,-0.005722046,-0.0023651123,0.0025177002
0.0012969971,0.0066375732,0.001449585,-0.0060272217,0.004196167,0.0037384033,0.004043579,0.0012969971
0.0025177002,0.002670288,0.0016021729,-0.0032806396,0.0029754639,-0.0020599365,0.00038146973,0.00038146973
-0.005874634,-0.0023651123,-0.0019073486,-0.0011444092,-0.0048065186,-0.004348755,-0.0019073486,-0.0035858154
-0.0006866455,-0.0011444092,0.00022888184,0.0025177002,-0.0009918213,-0.0006866455,0.001449585,0.0063323975
0.0017547607,-0.0009918213,0.0016021729,0.001449585,0.0005340576,-0.0019073486,0.0017547607,-0.0023651123
0.0012969971,-0.0034332275,-0.0020599365,-0.0008392334,-0.0020599365,0.0038909912,-0.0011444092,-0.0008392334
0.0005340576,0.0038909912,0.0017547607,0.004196167,-0.0006866455,0.0012969971,0.0025177002,0.0016021729
0.00022888184,0.002670288,-0.0060272217,-0.0048065186,-0.0006866455,0.0005340576,-0.0008392334,0.002670288
0.0029754639,-0.0011444092,-0.0032806396,0.0066375732,0.0012969971,0.004043579,-0.0019073486,-0.0035858154
0.00022888184,0.00038146973,0.00022888184,0.0016021729,-0.005874634,0.0017547607,0.004196167,0.0029754639
-0.0020599365,-0.0046539307,0.0017547607,0.0016021729,0.004196167,7.6293945e-05,0.002822876,0.0016021729
-0.004348755,0.0005340576,0.002822876,-0.004348755,0.001449585,-0.005722046,-0.0035858154,0.0005340576
-0.0035858154,0.0012969971,-0.0011444092,-0.0022125244,-0.0031280518,0.0017547607,-0.0009918213,-0.0009918213
-0.0022125244,0.0051116943,0.002670288,-0.0032806396,0.002822876,0.004196167,0.0049591064,-0.004501343
0.0049591064,0.0029754639,-0.0032806396,0.0037384033,0.00038146973,0.0005340576,0.0025177002,-0.0048065186
0.00022888184,7.6293945e-05,0.00022888184,-0.0023651123,0.0016021729,0.0025177002,0.0005340576,-0.0008392334
0.0016021729,0.001449585,-0.0048065186,0.0051116943,0.00038146973,0.0077056885,0.0016021729,0.00022888184
-0.0060272217,0.00038146973,-0.0023651123,-0.0019073486,-0.0011444092,-0.0035858154,-0.0035858154,-0.0006866455
0.0017547607,-0.0008392334,0.0017547607,-0.0023651123,-0.0035858154,-0.0035858154,0.002670288,-0.0022125244
-0.0032806396,0.0025177002,0.0005340576,-0.0011444092,-0.0020599365,7.6293945e-05,0.004196167,-0.0008392334
0.001449585,0.0016021729,0.00038146973,-0.0046539307,-0.0019073486,-0.0011444092,0.0029754639,0.00038146973
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
0.004043579,0.0017547607,-0.0008392334,-0.0023651123,0.00541687,-0.0031280518,0.004196167,0.004196167
-0.0009918213,0.00541687,0.00038146973,0.0025177002,0.0029754639,0.0037384033,0.0012969971,0.0038909912
0.0005340576,-0.005722046,0.0029754639,0.002670288,0.00022888184,-0.005874634,0.00022888184,-0.0011444092
-0.0022125244,0.0038909912,0.0077056885,0.001449585,0.00022888184,7.6293945e-05,-0.0022125244,-0.0031280518
-0.0011444092,-0.007095337,-0.0019073486,0.00038146973,0.00038146973,-0.0020599365,-0.0035858154,-0.0046539307
0.0049591064,0.004196167,0.0012969971,-0.0035858154,-0.0023651123,-0.0011444092,0.004196167,0.0012969971
0.0005340576,-0.0009918213,-0.0023651123,0.0005340576,-0.0020599365,-0.0019073486,0.0090789795,0.0090789795
-0.0022125244,-0.0009918213,0.0029754639,0.0005340576,-0.0019073486,-0.0008392334,0.0029754639,-0.0046539307
0.0016021729,-0.0008392334,-0.004501343,0.0064849854,7.6293945e-05,-0.0011444092,0.00038146973,-0.0034332275
0.001449585,0.0016021729,-0.0046539307,-0.0011444092,-0.0023651123,-0.006942749,-0.0011444092,-0.004348755
-0.0023651123,0.00038146973,0.0005340576,-0.0019073486,0.005264282,-0.0046539307,0.001449585,0.0017547607
-0.0008392334,-0.0006866455,-0.0019073486,-0.0023651123,-0.0023651123,0.0016021729,0.0005340576,-0.0023651123
-0.004348755,0.0063323975,0.00038146973,-0.0008392334,0.0016021729,-0.006790161,-0.0031280518,-0.0019073486
-0.0060272217,-0.0035858154,0.0005340576,0.0063323975,7.6293945e-05,0.00038146973,0.004196167,-0.0019073486
0.0037384033,0.00038146973,0.00038146973,-0.0035858154,0.001449585,0.0025177002,0.00022888184,-0.0060272217
-0.0008392334,-0.004348755,0.0029754639,-0.0019073486,-0.0023651123,-0.0011444092,0.00038146973,0.004196167
7.6293945e-05,-0.0035858154,0.0049591064,-0.007247925,0.001449585,0.0063323975,-0.0009918213,-0.0006866455
0.00541687,0.00541687,0.0016021729,0.002822876,7.6293945e-05,0.0090789795,-0.0022125244,-0.0006866455
-0.0011444092,0.0025177002,0.0063323975,-0.0009918213,-0.0019073486,-0.0019073486,0.00038146973,-0.0009918213
-0.0022125244,0.001449585,-0.0009918213,0.00541687,-0.0019073486,-0.0009918213,-0.0023651123,0.00022888184
7.6293945e-05,0.0029754639,-0.0023651123,7.6293945e-05,0.0049591064,-0.004501343,-0.0020599365,0.002822876
0.00022888184,0.0025177002,0.00022888184,0.0017547607,0.0016021729,0.0017547607,0.00038146973,0.0012969971
0.0038909912,0.002822876,0.0025177002,7.6293945e-05,-0.0023651123,0.00541687,0.004043579,0.0037384033
-0.0006866455,0.0017547607,0.0025177002,0.0017547607,0.001449585,0.0063323975,0.0012969971,0.008773804
-0.0023651123,-0.005874634,0.004196167,-0.0060272217,0.00038146973,-0.0032806396,0.004196167,-0.0020599365
-0.0022125244,0.0005340576,-0.0020599365,-0.0031280518,-0.005874634,0.0012969971,-0.0019073486,7.6293945e-05
0.004043579,-0.004348755,0.0012969971,-0.0032806396,-0.0008392334,-0.0008392334,0.0005340576,-0.0031280518
-0.006942749,7.6293945e-05,0.00038146973,0.0017547607,-0.0011444092,-0.0006866455,-0.0008392334,0.0005340576
-0.0008392334,-0.0009918213,0.0012969971,-0.0008392334,-0.0008392334,-0.005874634,-0.0008392334,0.00038146973
0.001449585,0.0012969971,0.0066375732,0.0025177002,-0.004501343,0.004043579,0.005264282,0.007858276
-0.0019073486,-0.0020599365,-0.0046539307,7.6293945e-05,-0.0023651123,0.00022888184,7.6293945e-05,-0.0023651123
0.002822876,7.6293945e-05,0.001449585,0.0017547607,-0.0020599365,0.00038146973,0.0051116943,0.0012969971
-0.0060272217,-0.0019073486,0.0012969971,-0.0023651123,-0.0006866455,-0.0006866455,-0.0032806396,0.0017547607
7.6293945e-05,0.0017547607,0.0029754639,-0.0008392334,0.0025177002,0.002822876,-0.0011444092,7.6293945e-05
0.00038146973,0.0066375732,0.00038146973,-0.0023651123,0.0037384033,0.0005340576,-0.0046539307,0.00022888184
0.004196167,0.0017547607,-0.0034332275,0.00038146973,0.002822876,0.0012969971,0.00022888184,0.00038146973
-0.004501343,-0.0023651123,0.0017547607,0.0049591064,0.005264282,0.0038909912,-0.0009918213,-0.0008392334
-0.0048065186,-0.0023651123,0.0012969971,0.00038146973,0.0005340576,-0.0020599365,0.0005340576,0.00022888184
0.00022888184,0.0049591064,0.0005340576,0.00022888184,-0.0035858154,0.004043579,-0.0009918213,-0.006790161
0.0029754639,0.0037384033,0.0012969971,7.6293945e-05,0.0051116943,0.001449585,0.0017547607,-0.0009918213
-0.0023651123,0.0012969971,0.004196167,-0.0020599365,-0.0008392334,0.0037384033,0.004043579,0.004043579
-0.0023651123,0.0016021729,-0.0060272217,-0.0020599365,-0.0020599365,0.00541687,0.0017547607,-0.0006866455
-0.0009918213,-0.0008392334,0.00022888184,0.0037384033,0.0064849854,0.00038146973,7.6293945e-05,0.005264282
-0.0023651123,0.0005340576,-0.0034332275,0.00022888184,-0.0035858154,-0.0020599365,0.0005340576,0.0005340576
0.0016021729,0.0005340576,-0.0023651123,-0.0006866455,-0.0031280518,0.004196167,7.6293945e-05,0.00022888184
7.6293945e-05,0.0016021729,0.0016021729,0.001449585,0.001449585,0.0017547607,0.0016021729,-0.0011444092
-0.0011444092,0.004196167,0.0025177002,0.0029754639,-0.0032806396,-0.0022125244,-0.0046539307,0.0005340576
0.001449585,0.0012969971,0.0049591064,-0.004501343,0.004043579,7.6293945e-05,0.0017547607,-0.0035858154
0.0025177002,-0.0023651123,7.6293945e-05,0.0012969971,0.00022888184,0.0005340576,0.0037384033,0.0016021729
-0.005874634,0.002670288,0.00022888184,0.0005340576,-0.0006866455,-0.0006866455,0.0012969971,-0.0046539307
0.0017547607,-0.007095337,0.001449585,-0.0031280518,-0.007095337,-0.0020599365,0.0005340576,0.0005340576
0.00038146973,0.0016021729,0.0025177002,0.00038146973,0.0029754639,-0.005722046,-0.0019073486,-0.0008392334
-0.0020599365,-0.0011444092,-0.0006866455,-0.0011444092,-0.0031280518,0.00541687,-0.0022125244,-0.0022125244
-0.0046539307,0.001449585,0.0029754639,0.0061798096,-0.0006866455,-0.0046539307,-0.0009918213,-0.0008392334
0.0005340576,0.0017547607,-0.0008392334,-0.0008392334,7.6293945e-05,0.0005340576,0.004043579,7.6293945e-05
0.00541687,0.00038146973,7.6293945e-05,0.004196167,-0.0011444092,7.6293945e-05,0.0051116943,0.00038146973
0.0038909912,-0.0032806396,-0.004348755,0.0063323975,-0.0020599365,0.004196167,0.0049591064,0.001449585
0.00022888184,0.0017547607,0.00038146973,0.0025177002,0.001449585,-0.0009918213,-0.0006866455,-0.005569458
0.0016021729,0.0017547607,0.0017547607,-0.0011444092,-0.0009918213,-0.0009918213,0.001449585,0.0025177002
0.0029754639,0.00541687,0.00038146973,0.0012969971,0.0017547607,0.0005340576,7.6293945e-05,-0.0019073486
-0.0011444092,-0.005722046,-0.0020599365,0.0075531006,-0.004501343,-0.0011444092,-0.0019073486,0.0049591064
0.00022888184,-0.0048065186,0.00541687,0.0005340576,-0.0011444092,-0.0020599365,-0.0009918213,0.002670288
7.6293945e-05,-0.0020599365,0.00022888184,0.00038146973,-0.0020599365,-0.0031280518,-0.0019073486,0.00022888184
-0.004348755,0.0016021729,-0.0019073486,0.002822876,0.0017547607,0.002670288,0.002822876,0.002822876
-0.0006866455,0.0066375732,0.001449585,0.0012969971,0.0049591064,-0.0031280518,0.0005340576,0.0005340576
0.0005340576,-0.0006866455,-0.0032806396,-0.006790161,7.6293945e-05,-0.0008392334,-0.004501343,-0.0019073486
-0.004348755,-0.0022125244,0.004196167,0.00022888184,0.00022888184,-0.0046539307,-0.004501343,0.00038146973
0.0012969971,-0.0032806396,0.0038909912,-0.0034332275,-0.0006866455,-0.0023651123,0.002822876,0.00022888184
0.0066375732,0.00038146973,-0.0048065186,0.0051116943,0.0017547607,-0.0020599365,0.004196167,-0.004348755
0.0025177002,0.002822876,-0.0023651123,-0.0023651123,-0.0035858154,0.005264282,7.6293945e-05,0.0012969971
0.002670288,0.005264282,0.0005340576,0.002822876,0.002670288,0.0005340576,0.0038909912,0.0066375732
0.0038909912,0.0037384033,-0.0009918213,-0.0006866455,0.0029754639,-0.0020599365,0.0016021729,7.6293945e-05
